Teams,14,15,16,17,18,Total
Arsenal,2.0,1.93,1.95,1.78,2.85,10.51
Aston Villa,2.29,3.06,1.59,1.38,1.55,9.87
Bournemouth,1.4,1.6,1.78,1.13,1.4,7.31
Brentford,1.55,1.6,1.38,1.65,1.38,7.56
Brighton,1.42,1.96,1.54,1.65,1.93,8.5
Chelsea,2.93,1.75,2.6,1.63,2.26,11.17
Crystal Palace,1.5,0.99,1.13,0.74,1.21,5.57
Everton,1.2,0.63,0.44,0.94,0.59,3.8
Fulham,1.45,0.8,0.82,2.38,1.22,6.67
Ipswich,1.1,1.2,1.21,1.11,0.52,5.14
Leicester,1.72,1.38,1.14,1.76,0.78,6.78
Liverpool,1.77,1.64,2.28,1.76,3.16,10.61
Man City,2.27,1.86,2.09,2.13,2.04,10.39
Man United,0.64,1.38,0.85,1.46,1.47,5.8
Newcastle,1.24,1.91,2.73,2.07,2.08,10.03
Nott'm Forest,0.81,1.02,1.46,1.34,1.27,5.9
Southampton,0.91,0.86,0.89,0.82,1.13,4.61
Tottenham,1.87,2.08,2.87,1.4,1.77,9.99
West Ham,1.87,1.92,1.35,1.5,2.08,8.72
Wolves,1.15,1.58,2.0,1.88,1.4,8.01
