Teams,5,6,7,8,9,Total
Arsenal,2.36,1.12,2.06,1.77,1.41,8.72
Aston Villa,1.27,0.76,1.06,2.04,1.43,6.56
Brentford,2.31,0.89,1.1,1.08,0.99,6.37
Brighton,1.11,1.96,1.53,2.39,0.66,7.65
Burnley,1.08,0.84,1.76,0.45,1.4,5.53
Chelsea,1.89,1.16,2.31,3.3,2.8,11.46
Crystal Palace,0.62,1.3,0.59,1.06,0.99,4.56
Everton,1.49,2.14,0.89,0.99,2.95,8.46
Leeds,1.26,0.66,2.59,1.36,1.78,7.65
Leicester,1.79,1.94,1.66,0.61,2.54,8.54
Liverpool,2.12,3.08,0.91,3.4,1.26,10.77
Man City,2.41,2.06,1.84,2.9,2.76,11.97
Man United,1.28,1.5,1.58,1.31,1.07,6.74
Newcastle,0.58,2.49,1.68,0.53,1.2,6.48
Norwich,2.16,0.79,1.45,1.01,0.56,5.97
Southampton,0.32,1.57,0.72,0.61,1.52,4.74
Tottenham,1.18,1.66,1.41,1.74,1.2,7.19
Watford,1.77,1.01,0.81,0.53,1.07,5.19
West Ham,0.72,1.22,2.53,1.52,1.01,7.0
Wolves,2.54,1.72,1.46,1.45,1.23,8.4
